t,step,run_id,sat_id,station_id,active,beam,channel,elev_deg,az_deg,range_km,scan_deg,snr_db,sinr_db,inr_db,ber,rain_fade_db,alloc_bw_hz,alloc_power_w,rate_bps,clean_rate_bps,bits_delivered,slewing,session_age_s
0.0,0,52bb211583b2,SAT-000,Ahmedabad-SAC,True,0,0,66.49219088909693,213.89531078426816,649.0590812208792,23.507809110903068,16.52368841973785,9.792617884375417,5.6948327315487735,0.0010086613663677954,3.0,50000000.0,3.9545454545454546,169847064.7125926,275000000.0,1358776517.7007408,True,0.0
0.0,0,52bb211583b2,SAT-001,Delhi,False,,,32.38089918848544,215.83809348224742,1020.496767670205,57.61910081151456,13.613881000931258,13.613881000931258,-300.0,8.176204847927534e-07,0.0,50000000.0,5,0.0,229194048.2067906,0.0,False,0.0
0.0,0,52bb211583b2,SAT-001,Ahmedabad-SAC,True,1,0,86.79017863010652,154.90419572712315,600.8614556316081,3.2098213698934757,16.897565618335108,12.810545045531828,1.9388264472952708,6.199224026763227e-06,3.0,50000000.0,3.090909090909091,216459515.9808783,275000000.0,1731676127.8470263,True,0.0
0.0,0,52bb211583b2,SAT-002,Delhi,True,0,0,42.59751845110583,213.15961219362728,845.3491595785663,47.40248154889417,16.527467804877745,10.550858191907327,4.712459234464561,0.00037676256059073117,0.0,50000000.0,4.818181818181818,181335688.74445364,275000000.0,1450685509.955629,True,0.0
0.0,0,52bb211583b2,SAT-002,Ahmedabad-SAC,False,,,68.77453623030809,48.30941269992389,639.5380953479497,21.225463769691913,17.821852086384837,17.821852086384837,-300.0,3.568646716469545e-15,3.0,50000000.0,5,0.0,275000000.0,0.0,False,0.0
0.0,0,52bb211583b2,SAT-003,Delhi,True,1,0,56.84208754347515,207.1558083520692,703.991232424532,33.15791245652485,17.473957911281758,10.838407847035077,5.573208535017169,0.00024815998157815363,0.0,50000000.0,3.090909090909091,185736679.15594333,275000000.0,1485893433.2475467,True,0.0
0.0,0,52bb211583b2,SAT-003,Ahmedabad-SAC,False,,,50.96044269080112,44.404899995928325,751.7597362229473,39.03955730919888,14.679050605625704,14.679050605625704,-300.0,2.9896932316171615e-08,3.0,50000000.0,5,0.0,246228929.11485592,0.0,False,0.0
0.0,0,52bb211583b2,SAT-004,Delhi,True,2,0,74.64721411707687,183.80373290821362,620.1982310919553,15.35278588292313,17.99710078504758,12.28602147455508,4.353414278932785,1.941372437939452e-05,0.0,50000000.0,2.2272727272727275,208206583.0766035,275000000.0,1665652664.612828,True,0.0
0.0,0,52bb211583b2,SAT-004,Ahmedabad-SAC,False,,,38.20261176863807,43.14243893353478,910.629145582205,51.79738823136193,10.640045394457132,10.640045394457132,-300.0,0.0003319126108134239,3.0,50000000.0,5,0.0,182698255.4163318,0.0,False,0.0
0.0,0,52bb211583b2,SAT-005,Delhi,True,3,0,75.50173672632069,84.39269943331475,617.9619390838236,14.498263273679314,18.052156411642102,14.06360430743171,1.7761552559491613,2.2240451422204328e-07,0.0,50000000.0,2.2272727272727275,236367293.80825695,275000000.0,1890938350.4660556,True,0.0
0.0,0,52bb211583b2,SAT-006,Delhi,False,,,57.69359290202389,58.65780675220878,698.0690264677968,32.30640709797611,19.693514856316284,19.693514856316284,-300.0,2.3799722948556176e-22,0.0,50000000.0,5,0.0,275000000.0,0.0,False,0.0
0.0,0,52bb211583b2,SAT-007,Delhi,False,,,43.218729671221986,52.33596617934237,837.1305909707796,46.781270328778014,16.844190119353158,16.844190119353158,-300.0,1.780441825710499e-12,0.0,50000000.0,5,0.0,275000000.0,0.0,False,0.0
0.0,0,52bb211583b2,SAT-008,Delhi,False,,,32.82589485974966,49.56426405141004,1010.9790495804183,57.17410514025034,13.770588814452168,13.770588814452168,-300.0,5.271258956087857e-07,0.0,50000000.0,5,0.0,231690230.74373016,0.0,False,0.0
0.0,0,52bb211583b2,SAT-100,Ahmedabad-SAC,True,2,0,62.39224865999957,185.95126961735616,669.3025723137996,27.607751340000434,16.79614500671893,10.417185830786133,5.242741942282779,0.0004535343719055581,3.0,50000000.0,4.818181818181818,179297746.1873392,275000000.0,1434381969.4987135,True,0.0
0.0,0,52bb211583b2,SAT-101,Bengaluru-ISTRAC,True,0,0,32.88264996421499,328.497653898068,1009.7798348607494,57.11735003578501,16.629537988379113,9.256974831397564,6.494128068803669,0.0018479659048441185,0.0,50000000.0,4.818181818181818,161843572.50543573,275000000.0,1294748580.0434859,True,0.0
0.0,0,52bb211583b2,SAT-101,Ahmedabad-SAC,False,,,48.732200195392394,165.94979151247605,773.394930199589,41.267799804607606,14.105574519689185,14.105574519689185,-300.0,1.9562962432439228e-07,3.0,50000000.0,5,0.0,237038209.4199839,0.0,False,0.0
0.0,0,52bb211583b2,SAT-102,Bengaluru-ISTRAC,True,1,0,43.29892996029619,331.2715292279907,836.0862306156781,46.70107003970381,16.352116419420796,7.748472270351795,7.9591065086471,0.007339772832861905,0.0,50000000.0,2.2272727272727275,139897613.83947924,275000000.0,1119180910.715834,True,0.0
0.0,0,52bb211583b2,SAT-102,Ahmedabad-SAC,False,,,37.32437973144191,157.66023064978936,925.3336237279937,52.67562026855809,10.28255175763475,10.28255175763475,-300.0,0.0005437796325266855,3.0,50000000.0,5,0.0,177250415.50770807,0.0,False,0.0
0.0,0,52bb211583b2,SAT-103,Bengaluru-ISTRAC,True,2,0,57.8062627107091,337.6135349022497,697.3026142737324,32.1937372892909,17.067787226400768,10.014888326052063,6.099455823699459,0.0007682427563822902,0.0,50000000.0,1.3636363636363638,173196424.78737512,275000000.0,1385571398.299001,True,0.0
