target_elev_deg,weather_state,fixed_delivered_gbit,adaptive_delivered_gbit,adaptive_gain_pct
20.0,clear,480.0,480.0,0.0
20.0,extreme,0.0,0.0,0.0
20.0,heavy_rain,75.91246699143655,118.3356586559213,55.884353843052416
20.0,light_rain,469.1706300804273,480.0,2.308194338106003
20.0,storm,0.0,0.0,0.0
30.0,clear,480.0,480.0,0.0
30.0,extreme,0.0,0.0,0.0
30.0,heavy_rain,245.38264823467844,336.45809970962705,37.11568528995828
30.0,light_rain,480.0,480.0,0.0
30.0,storm,138.99507948106108,201.12848486379116,44.70187406252472
40.0,clear,480.0,480.0,0.0
40.0,extreme,43.629872770385134,68.32265487452082,56.596044260978296
40.0,heavy_rain,361.3005658489113,470.49598623154344,30.22287555129253
40.0,light_rain,480.0,480.0,0.0
40.0,storm,246.77164755629585,331.6642729674286,34.40128809439757
50.0,clear,480.0,480.0,0.0
50.0,extreme,88.0169593316316,128.70771645379799,46.23058718587534
50.0,heavy_rain,423.7333202990483,480.0,13.278795177410574
50.0,light_rain,480.0,480.0,0.0
50.0,storm,308.9323092937979,402.83855797326004,30.397030629177824
60.0,clear,480.0,480.0,0.0
60.0,extreme,111.02109155333439,157.7053504806619,42.049900855911204
60.0,heavy_rain,452.3830434126655,480.0,6.1047727118591935
60.0,light_rain,480.0,480.0,0.0
60.0,storm,337.3838639276053,433.7697809698712,28.568620893780516
80.0,clear,480.0,480.0,0.0
80.0,extreme,106.96573660515378,152.62591367810214,42.686731772338746
80.0,heavy_rain,447.20134118246347,480.0,7.3342040367795525
80.0,light_rain,480.0,480.0,0.0
80.0,storm,332.42611916634877,428.81647928112943,28.996024848019275
