stage,n_seeds,delivered_gbit_mean,delivered_gbit_std,delivered_gbit_ci95_lo,delivered_gbit_ci95_hi,completion_rate_mean,completion_rate_std,vs_previous_stage,delivered_gbit_pvalue_ttest_rel
baseline,15,1798.180676042896,19.18557688170579,1788.4714345288662,1807.8899175569259,0.0,0.0,,
+adaptive_power,15,1911.8005898619958,28.13170976446044,1897.5639804553646,1926.037199268627,0.0,0.0,baseline,4.5585906341066e-17
+handover,15,1921.5412192234037,29.388711415839072,1906.6684792124117,1936.4139592343956,0.0,0.0,+adaptive_power,1.257287328970899e-13
+weather,15,1141.2621101275106,5.309828120670592,1138.57496634552,1143.9492539095013,0.0,0.0,+handover,1.047827239014891e-22
+failure_recovery,15,1013.0669224764556,195.97175616626666,913.89153034315,1112.2423146097613,0.0,0.0,+weather,0.02264409594487171
+dynamic_scheduler,15,1013.0669224764556,195.97175616626666,913.89153034315,1112.2423146097613,0.0,0.0,+failure_recovery,nan
