network,profile,beams_per_station,n_sats,policy,oracle_gbit,pct_optimal,wall_s,throughput_mbps,delivered_gbit,completion_rate,mean_wait_s,mean_latency_s,beam_utilization,peak_beam_utilization,station_utilization,sla_compliance,fairness,drop_rate,dropped_gbit,handovers,reacquisitions,mean_decision_ms,p50_decision_ms,p99_decision_ms,max_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers
india8,baseline,4,40,fcfs/strongest,802.332704260811,100.60126343934084,2.792648900009226,134.526139578901,807.156837473406,0.825,296.75,90.3030303030303,0.014479166666666666,0.15625,0.051458333333333335,0.65,0.30937529888185183,0.2139826555527858,219.7375983498374,14,14,0.02192416684313988,0.018699996871873736,0.06380000559147447,0.08339999476447701,19.87759090909092,40.606371323612294,0,0.0,0
india8,baseline,4,40,ljf/strongest,802.332704260811,100.60126343934084,2.8272572999994736,134.526139578901,807.156837473406,0.825,296.75,90.3030303030303,0.014479166666666666,0.15625,0.051458333333333335,0.65,0.30937529888185183,0.2139826555527858,219.7375983498374,14,14,0.021744166612431098,0.0185999961104244,0.055800002883188426,0.06900000153109431,19.87759090909092,40.606371323612294,0,0.0,0
india8,baseline,4,40,sjf/strongest,802.332704260811,100.60126343934084,2.7936972999887075,134.526139578901,807.156837473406,0.825,296.75,90.3030303030303,0.014479166666666666,0.15625,0.051458333333333335,0.65,0.30937529888185183,0.2139826555527858,219.7375983498374,14,14,0.020736999746683676,0.018699996871873736,0.051700000767596066,0.06849999772384763,19.87759090909092,40.606371323612294,0,0.0,0
india8,baseline,4,40,edf/strongest,802.332704260811,100.60126343934084,2.8113704999996116,134.526139578901,807.156837473406,0.825,296.75,90.3030303030303,0.014479166666666666,0.15625,0.051458333333333335,0.65,0.30937529888185183,0.2139826555527858,219.7375983498374,14,14,0.021618833149356455,0.01850000990089029,0.05440000677481294,0.06679999933112413,19.87759090909092,40.606371323612294,0,0.0,0
india8,baseline,4,40,priority/strongest,802.332704260811,100.60126343934084,2.924246699985815,134.526139578901,807.156837473406,0.825,296.75,90.3030303030303,0.014479166666666666,0.15625,0.051458333333333335,0.65,0.30937529888185183,0.2139826555527858,219.7375983498374,14,14,0.0235405001634111,0.02139998832717538,0.05420000525191426,0.07259999983943999,19.87759090909092,40.606371323612294,0,0.0,0
india8,baseline,4,40,priority/least_loaded,802.332704260811,100.64169333904982,2.8663992999936454,134.58020329684516,807.481219781071,0.825,296.75,90.3030303030303,0.014479166666666666,0.15625,0.05333333333333334,0.65,0.3092803400333678,0.21366676884004407,219.41321604217242,14,14,0.0226163331050581,0.018399994587525725,0.06580000626854599,0.09439999121241271,19.88575227272728,40.60601825400931,0,0.0,0
india8,baseline,4,40,hungarian/throughput,802.332704260811,100.60126343934084,2.8350246000045445,134.526139578901,807.156837473406,0.825,296.75,90.3030303030303,0.014479166666666666,0.15625,0.051458333333333335,0.65,0.30937529888185183,0.2139826555527858,219.7375983498374,14,14,0.06778899985268558,0.06320000102277845,0.12469998910091817,0.21549999655690044,19.687720454545467,40.99798345557324,0,0.0,0
india8,baseline,4,40,mip,802.332704260811,100.60126343934084,2.9699236000014935,134.526139578901,807.156837473406,0.825,296.75,90.3030303030303,0.014479166666666666,0.15625,0.051458333333333335,0.65,0.30937529888185183,0.2139826555527858,219.7375983498374,14,14,0.2854343333941264,0.1120000088121742,3.089599995291792,14.247599989175797,19.87759090909092,40.606371323612294,0,0.0,0
india8,baseline,4,40,horizon/throughput,802.332704260811,100.63796055464749,2.9941783000103896,134.57521173850523,807.4512704310315,0.825,296.75,90.3030303030303,0.014479166666666666,0.15625,0.052083333333333336,0.65,0.30929724112625306,0.21369593381454866,219.4431653922121,11,11,0.035532833499019034,0.028399997972883284,0.13380000018514693,0.16840000171214342,19.8178590909091,40.74361749808927,0,0.0,0
india8,baseline,4,40,horizon/urgency,802.332704260811,100.63796055464749,3.1061015000013867,134.57521173850523,807.4512704310315,0.825,296.75,90.3030303030303,0.014479166666666666,0.15625,0.052083333333333336,0.65,0.30929724112625306,0.21369593381454866,219.4431653922121,11,11,0.19666566671124505,0.14730000111740083,0.6144000071799383,0.8652000105939806,19.8178590909091,40.74361749808927,0,0.0,0
