severity_pct,station_mtbf_s,station_mttr_s,scheduler,n_satellites,n_stations,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,wall_time_s
0.0,,,fcfs/strongest,40,4,0,474.0352214665787,0.525,0.5,0.5383797935504898,519.5,0.018541666666666668,0.22192762227636328,0.020299666727320677,9.943249999999992,47.67407250814161,0,0.0,0,1.7280879999998433
0.0,,,fcfs/strongest,40,4,1,597.6814718137603,0.55,0.55,0.5432498090143543,377.0,0.023645833333333335,0.29371735902438584,0.019680166709197994,12.44325,48.032585684106664,0,0.0,0,1.6646939999991446
0.0,,,fcfs/strongest,40,4,2,684.9022594901232,0.45,0.45,0.4282706478523085,914.0,0.027604166666666666,0.35048882679396276,0.022316500050389248,14.1435,48.42523134232144,0,0.0,0,1.8928694000005635
0.0,,,mip,40,4,0,474.0352214665787,0.525,0.5,0.5383797935504898,519.5,0.018541666666666668,0.22192762227636328,0.12117399997805478,9.943249999999992,47.67407250814161,0,0.0,0,1.8334970999985671
0.0,,,mip,40,4,1,597.6814718137603,0.55,0.55,0.5432498090143543,377.0,0.023645833333333335,0.29371735902438584,0.11871433336636983,12.44325,48.032585684106664,0,0.0,0,1.764791999999943
0.0,,,mip,40,4,2,684.9022594901232,0.45,0.45,0.4282706478523085,914.0,0.027604166666666666,0.35048882679396276,0.14278316669333435,14.1435,48.42523134232144,0,0.0,0,2.2143696999992244
10.0,2700.0,300.0,fcfs/strongest,40,4,0,474.0352214665787,0.525,0.5,0.5383797935504898,519.5,0.018541666666666668,0.22192762227636328,0.02897133329497592,9.943249999999992,47.67407250814161,0,0.0,0,1.87672399999974
10.0,2700.0,300.0,fcfs/strongest,40,4,1,597.6814718137603,0.55,0.55,0.5432498090143543,377.0,0.023645833333333335,0.29371735902438584,0.030882499977451516,12.44325,48.032585684106664,0,0.0,0,2.095006600000488
10.0,2700.0,300.0,fcfs/strongest,40,4,2,578.5278863546687,0.425,0.425,0.5170677726904218,894.25,0.023541666666666666,0.3208851730875884,0.029596666699944763,12.14375,47.63997005493926,1,2440.0,0,2.3195155000012164
10.0,2700.0,300.0,mip,40,4,0,474.0352214665787,0.525,0.5,0.5383797935504898,519.5,0.018541666666666668,0.22192762227636328,0.1457256666738734,9.943249999999992,47.67407250814161,0,0.0,0,2.011062999999922
10.0,2700.0,300.0,mip,40,4,1,597.6814718137603,0.55,0.55,0.5432498090143543,377.0,0.023645833333333335,0.29371735902438584,0.13854800001657472,12.44325,48.032585684106664,0,0.0,0,1.83013789999859
10.0,2700.0,300.0,mip,40,4,2,578.5278863546687,0.425,0.425,0.5170677726904218,894.25,0.023541666666666666,0.3208851730875884,0.13982466665462806,12.14375,47.63997005493926,1,2440.0,0,2.0890005999990535
20.0,1200.0,300.0,fcfs/strongest,40,4,0,474.0352214665787,0.525,0.5,0.5383797935504898,521.25,0.01875,0.22192762227636328,0.024846999992102308,10.043249999999993,47.199384807366044,0,0.0,0,1.6748845000001893
20.0,1200.0,300.0,fcfs/strongest,40,4,1,538.0146001429814,0.475,0.475,0.5888474330270932,497.75,0.021354166666666667,0.2522187156922171,0.024960000064311316,11.1935,48.06491268530677,2,1175.0,0,1.7621027999994112
20.0,1200.0,300.0,fcfs/strongest,40,4,2,680.2659185225258,0.425,0.4,0.4321408821536432,1084.25,0.0275,0.35310601475129566,0.02574266669701804,14.04325,48.4407753563118,1,3450.0,0,1.8366896999996243
20.0,1200.0,300.0,mip,40,4,0,474.0352214665787,0.525,0.5,0.5383797935504898,521.25,0.01875,0.22192762227636328,0.13826466671465215,10.043249999999993,47.199384807366044,0,0.0,0,1.789251599999261
20.0,1200.0,300.0,mip,40,4,1,538.0146001429814,0.475,0.475,0.5888474330270932,497.75,0.021354166666666667,0.2522187156922171,0.14062583333422177,11.1935,48.06491268530677,2,1175.0,0,1.843459100000473
20.0,1200.0,300.0,mip,40,4,2,680.2659185225258,0.425,0.4,0.4321408821536432,1084.25,0.0275,0.35310601475129566,0.15425650001816393,14.04325,48.4407753563118,1,3450.0,0,2.194067800000994
40.0,450.0,300.0,fcfs/strongest,40,4,0,375.0279067673878,0.45,0.425,0.6347940998757732,750.0,0.014583333333333334,0.2265818656595616,0.02511633333597274,7.892749999999989,47.51549292292145,4,980.0,0,1.5127751999989414
40.0,450.0,300.0,fcfs/strongest,40,4,1,447.1564747221684,0.375,0.375,0.658281518063421,761.25,0.017604166666666667,0.24106371219764028,0.028790000002724504,9.193249999999992,48.639651344428664,6,1137.5,0,1.530383700001039
40.0,450.0,300.0,fcfs/strongest,40,4,2,592.9032191353645,0.375,0.35,0.5050678127198807,1304.25,0.024166666666666666,0.32501918211327,0.028694333304883912,12.34325,48.034611559788914,4,3355.0,0,1.6363130000008823
40.0,450.0,300.0,mip,40,4,0,375.0279067673878,0.45,0.425,0.6347940998757732,750.0,0.014583333333333334,0.2265818656595616,0.13812449999628976,7.892749999999989,47.51549292292145,4,980.0,0,1.5410031999999774
40.0,450.0,300.0,mip,40,4,1,447.1564747221684,0.375,0.375,0.658281518063421,761.25,0.017604166666666667,0.24106371219764028,0.1293538333144776,9.193249999999992,48.639651344428664,6,1137.5,0,1.356446199999482
40.0,450.0,300.0,mip,40,4,2,592.9032191353645,0.375,0.35,0.5050678127198807,1304.25,0.024166666666666666,0.32501918211327,0.15385116668767296,12.34325,48.034611559788914,4,3355.0,0,1.692994599998201
60.0,200.0,300.0,fcfs/strongest,40,4,0,329.3690768300484,0.475,0.425,0.6792571219202304,547.0,0.0125,0.18369790955092635,0.025932333337550517,6.942999999999989,47.439014378517776,5,1350.0,0,1.083550400000604
60.0,200.0,300.0,fcfs/strongest,40,4,1,327.721991395604,0.275,0.275,0.7495537519242669,1136.0,0.013020833333333334,0.29256076596819575,0.030295166628396448,6.793749999999991,48.23874758352963,8,2165.0,0,1.2268018000013399
60.0,200.0,300.0,fcfs/strongest,40,4,2,569.9891662050205,0.375,0.35,0.5241955589864739,1418.25,0.022708333333333334,0.3230475201942548,0.02886333331237741,11.6425,48.95762647240889,5,3480.0,0,1.3085701999989396
60.0,200.0,300.0,mip,40,4,0,329.3690768300484,0.475,0.425,0.6792571219202304,547.0,0.0125,0.18369790955092635,0.14507216670608614,6.942999999999989,47.439014378517776,5,1350.0,0,1.223586999998588
