strategy,n_stations,n_satellites,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,pct_optimal,oracle_delivered_gbit,wall_time_s
random,6,48,0,946.3676867635526,0.7083333333333334,0.625,0.269738529999859,434.5833333333333,0.02486111111111111,0.34302458991753987,0.02427433331528543,19.58825,48.313028818988556,0,0.0,0,0.9737344739988985,971.895020700092,2.740787900000214
random,6,48,1,1094.149461553857,0.8333333333333334,0.7083333333333334,0.1890204111465467,247.91666666666666,0.02875,0.39558793872026066,0.018606666638637158,22.6875,48.22697351201574,0,0.0,0,1.1257897594389368,971.895020700092,2.1465752000003704
random,6,48,2,1024.5304489841317,0.7083333333333334,0.6041666666666666,0.2563688180583861,537.0833333333334,0.02666666666666667,0.4042671642903214,0.024456999935864587,20.88825,49.0481705736063,0,0.0,0,1.0541575243858379,971.895020700092,2.6557513999996445
grid,6,48,0,727.3361427487439,0.5208333333333334,0.3125,0.4387534906180333,701.0416666666666,0.01875,0.3062953181715285,0.03754366665210303,14.741,49.341031324112606,0,0.0,0,0.959510041774491,758.0286928562299,4.117706499999258
grid,6,48,1,571.2262863644897,0.5208333333333334,0.3333333333333333,0.5766091606897378,615.4166666666666,0.016041666666666666,0.4046324817514408,0.036822833359716846,12.791499999999992,44.65670846769262,0,0.0,0,0.7535681587620725,758.0286928562299,4.076258799999778
grid,6,48,2,616.1059404339509,0.5,0.3125,0.5528140826459276,449.1666666666667,0.01625,0.3411349026693766,0.03588583333112183,12.891749999999993,47.79071425011742,0,0.0,0,0.812773904523959,758.0286928562299,3.9900294999988546
clustered,6,48,0,795.6985441114546,0.5,0.4791666666666667,0.38600187154849314,678.3333333333334,0.020902777777777777,0.2661173190800883,0.031439166635512564,16.2395,48.99772432103541,0,0.0,0,0.9738164752451502,817.0929167234966,3.337363100001312
clustered,6,48,1,813.206331179502,0.5208333333333334,0.5208333333333334,0.3972544343472076,768.3333333333334,0.02236111111111111,0.3441466640216811,0.02851966664214463,17.3385,46.90176954058897,0,0.0,0,0.9952433983156045,817.0929167234966,3.1580016000007163
clustered,6,48,2,712.9990696804457,0.6458333333333334,0.625,0.48248649765805723,327.0833333333333,0.01902777777777778,0.302582219870605,0.02590383332062629,15.2405,46.78318097703131,0,0.0,0,0.8726046390654538,817.0929167234966,2.896155100001124
coastal,6,48,0,1062.446642787657,0.7916666666666666,0.7291666666666666,0.1801665906280285,670.8333333333334,0.02784722222222222,0.3195374476444031,0.022047833381293458,21.9375,48.430616195448756,0,0.0,0,0.9926577324439422,1070.3051092665075,2.35047029999987
coastal,6,48,1,1089.6334881650873,0.8333333333333334,0.7916666666666666,0.19236763414558422,666.4583333333334,0.028680555555555556,0.4597984552400288,0.020544499975585495,22.6375,48.13400279028547,0,0.0,0,1.0180587560792134,1070.3051092665075,2.1945226000007096
coastal,6,48,2,1058.563724944392,0.7083333333333334,0.6875,0.23166657006491004,1061.6666666666667,0.02847222222222222,0.4520433901427924,0.022587833260937867,22.188,47.708839234919424,0,0.0,0,0.9890298717436171,1070.3051092665075,2.4432252000005974
equatorial,6,48,0,728.0831961807736,0.6041666666666666,0.6041666666666666,0.43817702932812147,818.125,0.019375,0.30246412600418915,0.035637166662733456,15.39025,47.30808116702286,0,0.0,0,0.9543569762455416,762.9044626938933,3.490676200000962
equatorial,6,48,1,672.9822989863585,0.5833333333333334,0.5833333333333334,0.5011879753954944,616.6666666666666,0.017777777777777778,0.3820597825916588,0.02768366666714428,14.19125,47.42234115996536,0,0.0,0,0.8821318158370571,762.9044626938933,3.006203500000993
equatorial,6,48,2,714.3123760447575,0.4791666666666667,0.4791666666666667,0.4815332653115584,772.2916666666666,0.01861111111111111,0.36449557726982396,0.027445833408516286,14.542,49.12064200555339,0,0.0,0,0.9363064590321674,762.9044626938933,3.0566318000001047
optimized,6,48,0,648.9700920325672,0.625,0.5625,0.4992243923558258,549.5833333333334,0.016944444444444446,0.3321926174967169,0.02410016661087866,13.690499999999993,47.40295036942168,0,0.0,0,0.9569549774907742,678.161572171585,2.931285000000571
optimized,6,48,1,848.7083386841437,0.6458333333333334,0.5208333333333334,0.3709404759153328,716.875,0.022152777777777778,0.37478916020979974,0.026666499992037036,17.4895,48.52673539461641,0,0.0,0,1.2514839730102072,678.161572171585,2.9703957000001537
optimized,6,48,2,707.856367043584,0.5416666666666666,0.4583333333333333,0.48621920667028384,970.8333333333334,0.018472222222222223,0.36971253162210077,0.036142499990698226,14.59,48.5165433203279,0,0.0,0,1.0437871977571824,678.161572171585,3.7687807000002067
