baseline_gbit,family,lever,policy,delivered_gbit,delta_pct,completion_rate,sla_compliance,beam_utilization,fairness,wall_s
807.156837473406,scan envelope,max_scan 80 deg,fcfs/strongest,1026.8944358232434,27.22365569468117,1.0,0.85,0.02828125,0.38137285247120284,2.1114783999946667
807.156837473406,scan envelope,max_scan 75 deg,fcfs/strongest,1019.9990853252805,26.36937927926395,0.975,0.8,0.02390625,0.38033893007410247,2.2137663000030443
807.156837473406,scan envelope,max_scan 70 deg,fcfs/strongest,956.3026894596028,18.477927096926905,0.875,0.7,0.02020833333333333,0.37448679306328664,2.5577771000098437
807.156837473406,scan envelope,max_scan 65 deg,fcfs/strongest,881.864045899795,9.255600021953647,0.85,0.7,0.016614583333333332,0.34640705972682195,2.6035890000057407
807.156837473406,sat bandwidth,200 MHz,fcfs/strongest,818.991363255507,1.466199037493876,0.875,0.7,0.004479166666666667,0.30683779598462035,2.5543072000000393
807.156837473406,sat bandwidth,100 MHz,fcfs/strongest,818.9913632555068,1.4661990374938538,0.875,0.7,0.007604166666666667,0.3068377959846202,2.4998403000063263
807.156837473406,sat power,tx 10 W,fcfs/strongest,807.8605431916206,0.0871832691670571,0.825,0.65,0.014322916666666666,0.309434205093089,2.8786741999938386
807.156837473406,station G/T,+3 dB,fcfs/strongest,807.819743799012,0.08212856471379038,0.825,0.65,0.014270833333333333,0.30938904372466497,2.9395539999968605
807.156837473406,policy,horizon/urgency,horizon/urgency,807.4512704310315,0.03647778770570209,0.825,0.65,0.014479166666666666,0.30929724112625306,3.0857341999944765
807.156837473406,handover,forecast mode,fcfs/strongest,807.378384909427,0.027447879487030313,0.825,0.65,0.014479166666666666,0.3093225016749208,4.6810805999994045
807.156837473406,beams,1 beam/station,fcfs/strongest,807.3364807032802,0.022256297851175333,0.825,0.65,0.057291666666666664,0.30932282485980983,2.726948399998946
807.156837473406,beams,2 beams/station,fcfs/strongest,807.156837473406,0.0,0.825,0.65,0.028958333333333332,0.30937529888185183,2.7657134999899426
807.156837473406,beams,8 beams/station,fcfs/strongest,807.156837473406,0.0,0.825,0.65,0.007239583333333333,0.30937529888185183,2.770353100000648
807.156837473406,handover,elevation mode,fcfs/strongest,807.156837473406,0.0,0.825,0.65,0.014479166666666666,0.30937529888185183,2.8666498999955365
