world,regime,policy,delivered_gbit,completion_rate,weighted_met,n_met,n_partial,n_rejected,fairness,wall_s,n_quotes,optimal
0,0-trivial,fcfs,246.3380660288661,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868183,0.0030045000021345913,13,
0,0-trivial,edf,246.33806602886608,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868183,0.0018112999969162047,13,
0,0-trivial,tier-deadline,246.3380660288661,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868183,0.0026261000020895153,13,
0,0-trivial,deadline-tier,246.33806602886608,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868183,0.0013534000026993454,13,
0,0-trivial,density,221.7079890737727,0.7692307692307693,0.7586206896551724,10,3,0,0.9572356106900483,0.002214900014223531,13,
0,0-trivial,slack,246.3380660288661,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868183,0.012863399984780699,91,
0,0-trivial,oppcost,246.3380660288661,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868183,0.022168799972860143,157,
0,0-trivial,ratio,246.3380660288661,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868183,0.021624999993946403,91,
0,0-trivial,w_avail,246.3380660288661,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868183,0.02299139997921884,91,
0,0-trivial,oracle/throughput,246.3380660288661,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868184,0.005051300016930327,0,True
0,0-trivial,oracle/priority,246.3380660288661,0.8461538461538461,0.8275862068965517,11,2,0,0.9995896271868184,0.0029446999833453447,0,True
0,A-slack,fcfs,302.6108596195621,0.8571428571428571,0.875,6,1,0,0.9731796840715664,0.0021191000123508275,7,
0,A-slack,edf,297.9079108776689,0.7142857142857143,0.75,5,2,0,0.9744594628110965,0.0019887999806087464,7,
0,A-slack,tier-deadline,297.9079108776689,0.7142857142857143,0.75,5,2,0,0.9744594628110965,0.0009382999851368368,7,
0,A-slack,deadline-tier,297.9079108776689,0.7142857142857143,0.75,5,2,0,0.9744594628110965,0.0007387999794445932,7,
0,A-slack,density,272.37235059810416,0.5714285714285714,0.625,4,3,0,0.946997502550569,0.0010704000014811754,7,
0,A-slack,slack,297.9079108776689,0.7142857142857143,0.75,5,2,0,0.9744594628110965,0.003105699986917898,28,
0,A-slack,oppcost,286.69824599651906,0.7142857142857143,0.75,5,2,0,0.9258958001983896,0.006525600008899346,48,
0,A-slack,ratio,297.9079108776689,0.7142857142857143,0.75,5,2,0,0.9744594628110965,0.007371599989710376,28,
0,A-slack,w_avail,297.9079108776689,0.7142857142857143,0.75,5,2,0,0.9744594628110965,0.006458399991970509,28,
0,A-slack,oracle/throughput,308.5401097052543,0.7142857142857143,0.75,5,2,0,0.9898451320635677,0.0013902999926358461,0,True
0,A-slack,oracle/priority,305.3156682740939,0.8571428571428571,0.875,6,1,0,0.9781865305624164,0.0030986000201664865,0,True
0,B-real,fcfs,410.85919887836155,0.5714285714285714,0.5,4,3,0,0.9690906872129206,0.0012706000125035644,7,
0,B-real,edf,385.0839974240117,0.5714285714285714,0.5,4,3,0,0.8958316983839565,0.0007916000031400472,7,
0,B-real,tier-deadline,385.0839974240117,0.5714285714285714,0.5,4,3,0,0.8958316983839565,0.0018623000069055706,7,
0,B-real,deadline-tier,385.0839974240117,0.5714285714285714,0.5,4,3,0,0.8958316983839565,0.0011478000087663531,7,
0,B-real,density,410.85919887836155,0.5714285714285714,0.5,4,3,0,0.9690906872129206,0.0011830000148620456,7,
0,B-real,slack,362.2031437606063,0.5714285714285714,0.5,4,3,0,0.8604505166104564,0.004650200018659234,28,
0,B-real,oppcost,405.9893031135298,0.7142857142857143,0.625,5,2,0,0.9214294913379534,0.005845300009241328,45,
0,B-real,ratio,415.1579893585748,0.7142857142857143,0.625,5,2,0,0.9661729880621299,0.0058240999933332205,28,
0,B-real,w_avail,415.1579893585748,0.7142857142857143,0.625,5,2,0,0.9661729880621299,0.007675700006075203,28,
0,B-real,oracle/throughput,422.7772960927708,0.42857142857142855,0.375,3,4,0,0.9782828160887796,0.003232099988963455,0,True
0,B-real,oracle/priority,421.0502167313459,0.7142857142857143,0.625,5,2,0,0.9571856854178052,0.013759099994786084,0,True
0,C-severe,fcfs,410.85919887836155,0.5714285714285714,0.5,4,3,0,0.9395472294613726,0.0008012999896891415,7,
0,C-severe,edf,391.0254354075547,0.42857142857142855,0.375,3,4,0,0.8808959746194039,0.0010452000133227557,7,
0,C-severe,tier-deadline,391.0254354075547,0.42857142857142855,0.375,3,4,0,0.8808959746194039,0.001094800012651831,7,
0,C-severe,deadline-tier,391.0254354075547,0.42857142857142855,0.375,3,4,0,0.8808959746194039,0.0013254999939817935,7,
0,C-severe,density,410.8591988783616,0.5714285714285714,0.5,4,3,0,0.9395472294613726,0.0008195999835152179,7,
0,C-severe,slack,410.85919887836155,0.5714285714285714,0.5,4,3,0,0.9395472294613726,0.00346689997240901,28,
0,C-severe,oppcost,411.93074109707277,0.5714285714285714,0.5,4,3,0,0.9014137365040541,0.0052146000089123845,40,
0,C-severe,ratio,410.85919887836155,0.5714285714285714,0.5,4,3,0,0.9395472294613726,0.006318300002021715,28,
0,C-severe,w_avail,410.85919887836155,0.5714285714285714,0.5,4,3,0,0.9395472294613726,0.004007199982879683,28,
0,C-severe,oracle/throughput,425.7238718478251,0.2857142857142857,0.25,2,5,0,0.9589939914440713,0.004124600003706291,0,True
